id,year,locationName,latitude_eq,longitude_eq,damageAmountOrder,publish,country,regionCode_eq,intensity,deathsAmountOrder,tsunamiEventId,deathsAmountOrderTotal,eqDepth,deaths,housesDestroyedAmountOrder,deathsTotal,damageAmountOrderTotal,housesDestroyedAmountOrderTotal,month,day,volcanoEventId,housesDamagedAmountOrder,injuries,injuriesAmountOrder,injuriesTotal,injuriesAmountOrderTotal,hour,housesDamagedAmountOrderTotal,minute,housesDestroyed,housesDamaged,housesDestroyedTotal,housesDamagedTotal,area,second,damageMillionsDollars,missing,missingAmountOrder,missingTotal,missingAmountOrderTotal,damageMillionsDollarsTotal,magnitude_Mw,MagnitudeSource,earthquakeEventId,oceanicTsunami,maxWaterHeight,regionCode_ts,latitude_ts,longitude_ts,same_region
1230,1725,"PERU: TRUJILLO, ANCASH, LIMA",-9.0,-79.0,3.0,True,PERU,160,9.0,4.0,,4.0,60.0,1500.0,3.0,1500.0,3.0,3.0,1.0,7.0,,,,,,,4.0,,25.0,,,,,,,,,,,,,7.229000000000001,Ms→Mw,,0,,,,,False
1234,1725,PERU:  AREQUIPA,-16.4,-70.8,1.0,True,PERU,160,7.0,,,,3.0,,,,1.0,,1.0,8.0,,1.0,,,,,13.0,1.0,0.0,,,,,,,,,,,,,7.161999999999999,Ms→Mw,,0,,,,,False
1235,1725,RUSSIA:  E OF LAKE BAYKAL (BAIKAL),56.5,118.5,,True,RUSSIA,40,11.0,,,,50.0,,,,,,2.0,1.0,,,,,,,11.0,,,,,,,,,,,,,,,8.2,None,,0,,,,,False
1263,1735,COLOMBIA:  POPAYAN,2.6,-76.5,3.0,True,COLOMBIA,160,,1.0,,1.0,20.0,,3.0,,3.0,3.0,2.0,2.0,,,,,,,18.0,,,,,,,,,,,,,,,5.085,Ms→Mw,,0,,,,,False
1270,1737,RUSSIA:  OFF KAMCHATKA,55.5,163.0,,True,RUSSIA,50,10.0,,,,20.0,,,,,,11.0,4.0,,,,,,,8.0,,,,,,,,,,,,,,,7.8,None,,0,,,,,False
1271,1737,RUSSIA:  KURIL ISLANDS,50.0,157.0,,True,RUSSIA,50,9.0,,414.0,,50.0,,,,,,12.0,17.0,,,,,,,,,,,,,,,,,,,,,,7.5,None,1271.0,1,,86.0,50.0,157.0,False
1284,1742,RUSSIA: LAKE BAYKAL (BAIKAL),53.3,104.0,,True,RUSSIA,40,10.0,,,,40.0,,,,,,6.0,27.0,,,,,,,5.0,,30.0,,,,,,,,,,,,,7.7,None,,0,,,,,False
1286,1742,RUSSIA:  KURIL ISLANDS,50.5,157.0,,True,RUSSIA,50,,,421.0,,40.0,,,,,,11.0,18.0,,,,,,,,,,,,,,,,,,,,,,7.5,None,1286.0,1,,86.0,51.5,157.0,False
1295,1746,"PERU:  LIMA, CALLAO",-11.996,-77.198,4.0,True,PERU,160,11.0,4.0,424.0,4.0,30.0,1141.0,4.0,5941.0,4.0,4.0,10.0,29.0,,,,,,,3.0,,30.0,2975.0,,,,,,,,,,,,7.43,Ms→Mw,1295.0,1,24.0,89.0,-11.996,-77.198,False
1366,1761,RUSSIA; MONGOLIA,50.0,90.0,,True,RUSSIA,40,10.0,,,,30.0,,,,,,12.0,9.0,,,,,,,17.0,,20.0,,,,,,,,,,,,,7.7,None,,0,,,,,False
